iter	Passed	Remaining
434	2445	365
435	2450	359
436	2455	353
437	2459	348
438	2465	342
439	2472	337
440	2478	331
441	2481	325
442	2486	319
443	2492	314
444	2498	308
445	2505	303
446	2510	297
447	2516	292
448	2521	286
449	2527	280
450	2531	275
451	2537	269
452	2544	263
453	2548	258
454	2552	252
455	2557	246
456	2564	241
457	2570	235
458	2576	230
459	2582	224
460	2588	218
461	2592	213
462	2599	207
463	2603	201
464	2609	196
465	2614	190
466	2620	185
467	2623	179
468	2629	173
469	2633	168
470	2636	162
471	2643	156
472	2645	151
473	2651	145
474	2657	139
475	2660	134
476	2666	128
477	2668	122
478	2671	117
479	2678	111
480	2682	105
481	2685	100
482	2692	94
483	2694	89
484	2700	83
485	2704	77
486	2710	72
487	2717	66
488	2723	61
489	2729	55
490	2735	50
491	2742	44
492	2744	38
493	2749	33
494	2755	27
495	2762	22
496	2764	16
497	2767	11
498	2772	5
499	2778	0
