iter	Logloss
0	0.6856460762
1	0.6753963262
2	0.6685261717
3	0.6637230762
4	0.6580697038
5	0.6542023501
6	0.6480607274
7	0.642849284
8	0.6393045065
9	0.6367058612
10	0.6345335979
11	0.6312673125
12	0.6301611573
13	0.6285322967
14	0.6272032708
15	0.6245045798
16	0.6233796848
17	0.6222314948
18	0.6215004666
19	0.6204867649
20	0.6197439461
21	0.6181283523
22	0.6172159487
23	0.6166891997
24	0.6160089223
25	0.6153347412
26	0.6145863337
27	0.6139060545
28	0.6122432395
29	0.6116671188
30	0.6110227082
31	0.6106568081
32	0.6092861012
33	0.6088384872
34	0.6085463705
35	0.6081063518
36	0.6076128684
37	0.6073423124
38	0.6069360121
39	0.6065629811
40	0.606285573
41	0.605815747
42	0.6054911417
43	0.6052025227
44	0.6048520948
45	0.6045148753
46	0.6041813696
47	0.6038935035
48	0.6035247125
49	0.602960942
50	0.6023311323
51	0.6021578275
52	0.6012434254
53	0.6011002258
54	0.6009305953
55	0.6007060741
56	0.6003024167
57	0.6001913538
58	0.5999705795
59	0.5996866067
60	0.5995283656
61	0.5991223177
62	0.5988609201
63	0.5986593251
64	0.5983560972
65	0.5981813367
66	0.5978803052
67	0.5977264329
68	0.5974292928
69	0.5973393404
70	0.597168828
71	0.5968298169
72	0.5965236225
73	0.5963795516
74	0.5960441322
75	0.5958560573
76	0.5956770064
77	0.5954450343
78	0.5953277699
79	0.5952462312
80	0.5951607718
81	0.5949869513
82	0.5948003241
83	0.5946344136
84	0.5944403581
85	0.5942867279
86	0.5941211561
87	0.5939021362
88	0.5937229267
89	0.5935676116
90	0.5933698179
91	0.5930932988
92	0.5928674551
93	0.5927476383
94	0.592643885
95	0.5924443615
96	0.5923826063
97	0.5921745241
98	0.5921585241
99	0.5920272136
100	0.5919413453
101	0.5917898092
102	0.5917118846
103	0.5915376291
104	0.5913434075
105	0.5911254103
106	0.5907281104
107	0.5906401983
108	0.5905757547
109	0.5897725881
110	0.5894632631
111	0.5893356166
112	0.5891930218
113	0.5890445903
114	0.5888884968
115	0.588808818
116	0.5887774512
117	0.5886145855
118	0.588504006
119	0.5882578419
120	0.5881810598
121	0.5880832112
122	0.5879250764
123	0.5877666533
124	0.5876445812
125	0.5875944477
126	0.5873505924
127	0.587198314
128	0.5870929126
129	0.5870091077
130	0.5868274807
131	0.5866607682
132	0.586579797
133	0.5864726823
134	0.5863129053
135	0.5862416693
136	0.5861533395
137	0.5860652122
138	0.5859864375
139	0.5859107132
140	0.5856995232
141	0.5855300906
142	0.5854430926
143	0.5852056337
144	0.5851317472
145	0.585036582
146	0.5848829552
147	0.584805155
148	0.584690518
149	0.5846044476
150	0.5842317391
151	0.5840867963
152	0.5840364968
153	0.5838613787
154	0.583798333
155	0.5836567973
156	0.5835582416
157	0.5833715393
158	0.5832628457
159	0.5832066468
160	0.5830456978
161	0.5829034486
162	0.5828226034
163	0.5826529392
164	0.5825089967
165	0.5825089967
166	0.5823855574
167	0.5823331037
168	0.5821446926
169	0.5820653224
170	0.5820055618
171	0.5819359608
172	0.5818607205
173	0.5818086588
174	0.5817216687
175	0.581578319
176	0.5814870023
177	0.5812804788
178	0.5812189391
179	0.5810531859
180	0.5809401698
181	0.5808143584
182	0.5807672709
183	0.5806103243
184	0.5804194311
185	0.5803497674
186	0.5803022784
187	0.5801824164
188	0.5800897423
189	0.579964281
190	0.5798713202
191	0.5797873072
192	0.5795982675
193	0.5795490679
194	0.5794848165
195	0.5794301693
196	0.5793634052
197	0.5793296206
198	0.5791979664
199	0.5790905493
200	0.578877787
201	0.5788316746
202	0.5787913879
203	0.5786004097
204	0.5783031791
205	0.57816876
206	0.5780252875
207	0.5774416271
208	0.5773937524
209	0.5773706392
210	0.5772846566
211	0.5770726289
212	0.5769434472
213	0.5768818831
214	0.5766930959
215	0.5765683483
216	0.5765314265
217	0.5763133813
218	0.5761268342
219	0.5758610707
220	0.5757120809
221	0.5756245136
222	0.5754773931
223	0.575233562
224	0.5750686316
225	0.5748442533
226	0.5745820109
227	0.5742771303
228	0.5741161742
229	0.5740064458
230	0.5738339674
231	0.5737471582
232	0.5735871468
233	0.5733480495
234	0.5731819841
235	0.5730099887
236	0.5728626376
237	0.572763501
238	0.5725956451
239	0.5724728307
240	0.5722941565
241	0.5721639172
242	0.5719760069
243	0.5717777609
244	0.5716560035
245	0.571564149
246	0.5712937739
247	0.5711118844
248	0.5709559324
249	0.5707708767
250	0.5706262403
251	0.5704771817
252	0.5703429131
253	0.5700143327
254	0.5698772579
255	0.5697398442
256	0.5695541129
257	0.5689649899
258	0.568915674
259	0.5687697563
260	0.5686178909
261	0.5684667385
262	0.5683742742
263	0.568295607
264	0.5681328864
265	0.5679300815
266	0.5678489028
267	0.567605781
268	0.5673821615
269	0.5671918429
270	0.5670315409
271	0.5667861276
272	0.5665413447
273	0.5664130385
274	0.5662858316
275	0.5660874841
276	0.565924407
277	0.5657669842
278	0.5655747781
279	0.5654363729
280	0.5653992355
281	0.5652033316
282	0.5650530938
283	0.5648923228
284	0.5647436609
285	0.5646272005
286	0.564445658
287	0.5642638032
288	0.5640814107
289	0.5639369507
290	0.5638581819
291	0.5637654569
292	0.5635769966
293	0.5633990976
294	0.5631524063
295	0.5629615341
296	0.5628447614
297	0.5626712833
298	0.5625099108
299	0.5623569726
300	0.5621783066
301	0.5619826079
302	0.5615325975
303	0.5613128305
304	0.561251121
305	0.5611746422
306	0.5610316379
307	0.5609080725
308	0.5606998005
309	0.5605532439
310	0.5603844114
311	0.5603145912
312	0.5601246777
313	0.5599779782
314	0.5599117449
315	0.5597132207
316	0.5595590262
317	0.5593798894
318	0.5592579487
319	0.5590967152
320	0.5589221539
321	0.5586738501
322	0.5584794217
323	0.5583694628
324	0.5579452446
325	0.5578843559
326	0.5578170321
327	0.557638147
328	0.5574781614
329	0.5573133585
330	0.5571781217
331	0.5570347973
332	0.5568939784
333	0.5567682945
334	0.5566801555
335	0.5565068641
336	0.5563424295
337	0.5562275886
338	0.5561759105
339	0.5561570743
340	0.5561054332
341	0.5559568108
342	0.5559127758
343	0.5558057869
344	0.5557027201
345	0.5556849399
346	0.5554944631
347	0.5553529114
348	0.5552214294
349	0.5551310108
350	0.5550117782
351	0.5549607165
352	0.5548020527
353	0.5545968237
354	0.5544550395
355	0.5542853757
356	0.5542135252
357	0.5541323742
358	0.5540768205
359	0.5540536497
360	0.5538929576
361	0.5536726922
362	0.5535452958
363	0.5534112403
364	0.5532481208
365	0.5532073216
366	0.5531417101
